type,time
start,12:18:58
authoringNEW-start,12:21:04
authoring-finished,12:21:13
authoringNEW-start,12:21:24
authoring-finished,12:21:25
nl2js-start,12:21:25
nl2js-finished,12:21:35
js2NLexplain-start,12:21:35
js2NLexplain-finished,12:21:44
js2flow-start,12:21:44
js2flow-finished,12:22:41
nodeClick,12:23:12
nodeClick,12:23:13
nodeClick,12:23:15
nodeClick,12:23:16
nodeClick,12:23:17
nodeClick,12:23:17
nodeClick,12:23:21
nodeClick,12:23:42
nodeClick,12:23:45
nl2jswithContext-start,12:30:55
nl2jswithContext-finished,12:31:27
explainModifiedJS-start,12:31:27
explainModifiedJS-finished,12:31:37
js2flow-start,12:31:37
js2flow-finished,12:32:21
nl2jswithContext-start,12:33:43
nl2jswithContext-finished,12:34:08
explainModifiedJS-start,12:34:08
explainModifiedJS-finished,12:34:11
js2flow-start,12:34:11
js2flow-finished,12:34:45
AutoLayout,12:34:48
start,12:35:07
authoringNEW-start,12:36:11
authoring-finished,12:36:20
authoringNEW-start,12:36:48
authoring-finished,12:36:49
nl2js-start,12:36:49
nl2js-finished,12:36:58
js2NLexplain-start,12:36:58
js2NLexplain-finished,12:37:07
js2flow-start,12:37:07
js2flow-finished,12:37:55
nodeClick,12:52:33
nodeClick,12:52:38
nodeClick,12:52:42
nodeClick,12:52:50
nodeClick,12:52:56
nodeClick,12:53:21
nodeClick,12:53:36
nodeClick,12:53:41
nodeClick,12:53:46
nodeClick,12:53:49
nodeClick,12:53:49
nodeClick,12:53:59
nodeClick,12:53:59
nodeClick,12:54:06
nodeClick,12:54:06
nodeClick,13:01:20
nodeClick,13:01:24
magicModify-start,13:01:25
magicModify-finished,13:01:30
